Q03001|Algum médico já lhe deu o diagnóstico de diabetes? 
Q060|Algum médico já lhe deu o diagnóstico de colesterol alto?
Q068|Algum médico já lhe deu o diagnóstico de AVC (Acidente Vascular Cerebral) ou derrame?
Q074|Algum médico já lhe deu o diagnóstico de asma (ou bronquite asmática)? 
Q079|Algum médico já lhe deu o diagnóstico de artrite ou reumatismo? 
Q084|O(a) Sr(a) tem algum problema crônico de coluna, como dor crônica nas costas ou no pescoço, lombalgia, dor ciática, problemas nas vértebras ou disco? 
Q088|Algum médico já lhe deu o diagnóstico de DORT? 
Q11604|Algum médico já lhe deu o diagnóstico de alguma outra doença crônica no pulmão, tais como enfisema pulmonar, bronquite crônica ou DPOC (Doença Pulmonar Obstrutiva Crônica)?
Q11605|Diagnóstico de enfisema pulmonar
Q11606|Diagnóstico de bronquite crônica 
Q11607|Diagnóstico de outro 
Q120|Algum médico já lhe deu diagnóstico de câncer? 
Q124|Algum médico já lhe deu o diagnóstico de insuficiência renal crônica? 
Q128|Algum médico já lhe deu algum diagnóstico de outra doença crônica (física ou mental) ou doença de longa duração (de mais de 6 meses de duração)? 
J00801|Alguma dessas doenças limita de alguma forma suas atividades habituais (trabalhar, ir à escola, brincar, afazeres domésticos, etc.)
Q058|Em geral, em que grau o diabetes ou alguma complicação do diabetes limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos etc.)? 
Q073|Em geral, em que grau o derrame (ou AVC) limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos etc.)? 
Q078|Em geral, em que grau a asma limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos, etc.)? 
Q083|Em geral, em que grau a artrite ou reumatismo limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos, etc.)? 
Q087|Em geral, em que grau o problema na coluna limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos, etc.)? 
Q091|Em geral, em que grau o DORT limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos etc.)? 
Q109|Em geral, em que grau a depressão limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos, etc.)? 
Q115|Em geral, em que grau essa doença mental limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos etc.)? 
Q119|Em geral, em que grau a doença do pulmão limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos etc.)? 
