codigo|descricao
P00104|"Peso - Final (em kg)
(3 inteiros e 1 casa decimal)"
P00404|"Altura - Final (em cm)
(3 inteiros)"
P01101|Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)? 
P013|Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha? 
P015|Em quantos dias da semana o(a) Sr(a) costuma comer peixe? 
P023|Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (de origem animal: vaca, cabra, búfala etc.) 
P02401|Que tipo de leite o(a) Sr(a) costuma tomar? 
P00901|Em quantos dias da semana, o(a) Sr(a) costuma comer pelo menos um tipo de verdura ou legume (sem contar batata, mandioca, cará ou inhame) como alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha? 
P01001|Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume: 
P018|Em quantos dias da semana o(a) Sr(a) costuma comer frutas? 
P019|Em geral, quantas vezes por dia o(a) Sr(a) come frutas? 
P02001|Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pó ? 
P02002|Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante? 
P03701|Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quanto tempo em horas dura essa atividade? Horas 
P03702|Em geral, no dia que o(a) Sr(a) pratica (praticava) exercício ou esporte, quanto tempo em minutos dura essa atividade?Minutos 
P02501|Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?
P02602|Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc? 
P02601|Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:
P027|Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?
P029|Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoólica o(a) Sr(a) consome? 
P034|Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte? 
P035|Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercício físico ou esporte?
P050|Atualmente, o(a) Sr(a) fuma algum produto do tabaco? 
Q00201|Algum médico já lhe deu o diagnóstico de hipertensão arterial (pressão alta)? 
Q06306|Algum médico já lhe deu o diagnóstico de uma doença do coração, tal como infarto, angina, insuficiência cardíaca ou outra?
Q06307|Infarto
Q06308| Angina 
Q06309|Insuficiência cardíaca 
Q06310|Arritmia 
Q06311|Outra
Q060|Algum médico já lhe deu o diagnóstico de colesterol alto? 
Q124|Algum médico já lhe deu o diagnóstico de insuficiência renal crônica? 
N001|Em geral, como o(a) Sr(a) avalia a sua saúde
N010|Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?
N011|Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? 
C008|Idade do morador na data de referência
C006|Sexo
